Loại hình	Quận/Huyện	Phòng ngủ	Phòng tắm	Diện tích	Diện tích sử dụng	Tình hình nội thất	Loại chủ quyền	Dự án	Tháp	Trạng thái	Giá bán	Ban công	Phòng cho giúp việc	Sân vườn	Phòng giải trí	Chỗ đậu xe hơi	Hồ bơi riêng	Quầy minibar	Tầng hầm	Số tầng	Góc làm việc	Thời gian Xây dựng	Nhà kho	Nuôi thú cưng	Mục đích sử dụng	Thời gian bắt đầu bán	Mã nhà đất	Giá đăng	Loại hình nhà đất	Số phòng ngủ	Số phòng tắm	Gym	Bàn ghế phòng khách	Chiều dài	Chiều rộng	Diện tích sàn	TV	Máy hút mùi	Kệ TV	Cảm biến cháy	Tủ lạnh
Căn hộ	Thủ Đức	2	2	79.36 m²	79.36 m²	Nội thất cơ bản	Sổ hồng	Dự án Opal Boulevard	B1	Chưa bàn giao	2.89 tỷ	No	No	No	No	No	No	No	No																						
Căn hộ	Quận 4	2	2	96 m²	96 m²	Nội thất cơ bản	HĐ mua bán	The Pegasuite 1			3.85 tỷ	No	No	No	No	No	No	No	No	6	No																				
Căn hộ	Quận 7	2	2	67.37 m²		Nội thất cơ bản	HĐ mua bán	Q7 Saigon Riverside	URANUS	Chưa bàn giao	2.35 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 2	1	1	50.6 m²	50.6 m²	Nội thất cơ bản	HĐ mua bán	Vinhomes Golden River	The Aqua 1		5 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 7	2	1	57 m²	57 m²	Không có nội thất	Sổ hồng	Riverside 90			2.95 tỷ	No	No	No	No	No	No	No	No		No	01/01/2015																			
Căn hộ	Bình Chánh	3	2	81.5 m²	75.4 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S1.01		2.98 tỷ	No	No	No	No	No	No	No	No	15																					
Căn hộ	Quận 9	3	2	90.78 m²	82.88 m²	Nội thất cơ bản	HĐ mua bán	Saigon Gateway	Block A		2.9 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Bình Thạnh	3	3	104.03 m²	96.67 m²	Không có nội thất		Saigon South Residence			4.29 tỷ	No	No	No	No	No	No	No	No		No		No	No																	
Căn hộ	Quận 7	2	2	69.18 m²	64 m²	Đầy đủ nội thất	HĐ mua bán	HƯNG PHÚC PREMIER	A		4.9 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 4	2	2	81 m²	81 m²	Nội thất cơ bản	HĐ mua bán	One Verandah	CIEL		5.1 tỷ	No	No	No	No	No	No	No	No	12																					
Nhà phố	Quận 7	7	6	70 m²	194 m²	Không có nội thất	Sổ hồng				4 tỷ	Yes	No	No	No	No	No	No	No	3					Để ở hoặc kinh doanh	01/09/2017															
Căn hộ	Quận 9	1	1	56 m²	53.3 m²	Nội thất cơ bản	HĐ mua bán	Ricca	BLOCK A	Chưa bàn giao	2.3 tỷ	No	No	No	No	No	No	No		10																					
Căn hộ	Bình Thạnh	3	2	105 m²	105 m²	Đầy đủ nội thất	HĐ mua bán				6.5 tỷ	No	No	No	No	No	No	No	No	9	No		No																		
Căn hộ	Quận 12	2	1	54.8 m²	54.8 m²	Nội thất cơ bản	HĐ mua bán	Vinhomes Grand Park	S2.01		2.06 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 7	2	2	96 m²		Đầy đủ nội thất	HĐ mua bán	The Estella An Phú			4.62 tỷ	Yes	No	No	No	No	Yes	No	No		Yes				Để ở	27/01/2018															
Nhà phố	Gò Vấp	4	3	27.7 m²	110.8 m²	Không có nội thất					5.5 tỷ	No	No	No	No	No	No	No	No	3	No		No	No																	
	Nhà Bè			70																							MBL3102	4.9 tỷ	Nhà phố	5	3										
Căn hộ	Quận 9	2	2	58 m²	54 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park			2.15 tỷ	No	No	No	No	No	No	No	No	14	No																				
Căn hộ	Quận 8	1	1	51 m²	51 m²	Nội thất cơ bản		Ehome 3			1.45 tỷ	No	No	No	No	No	No	No	No	6	No		No																		
Căn hộ	Phú Nhuận	3	2	90 m²	90 m²	Đầy đủ nội thất		The Sun Avenue	Block 2		5.9 tỷ	No	No	No	No	No	No	No	No		No		No																		
Căn hộ	Quận 9	2	2	64 m²	64 m²	Nội thất cơ bản	HĐ mua bán	Thủ Thiêm Garden	A		2.2 tỷ	No	No	No	No	No	No	No	No	18																					
Căn hộ	Quận 2	1	1		53.7 m²	Đầy đủ nội thất		Vinhomes Central Park	LANDMARK 5		3.46 tỷ	Yes	No	No	No	Yes	No	No	No		No		No	No																	
Căn hộ	Nhà Bè	2	2	102 m²	102 m²	Nội thất cơ bản					3.5 tỷ	No	No	No	No	No	No	No	No		No		No	No								No									
Căn hộ	Quận 2	1	1	50 m²	46 m²	Đầy đủ nội thất	HĐ mua bán	The Gold View	Tháp A	Chưa bàn giao	3.2 tỷ	Yes	No	No	No	Yes	No	No								03/03/2020															
Căn hộ	Quận 8	2	2	75 m²	75 m²	Không có nội thất		Saigon South Residence			2.75 tỷ	No	No	No	No	No	No	No	No	9	No		No																		
Căn hộ	Bình Tân	2	1	57 m²	57 m²	Đầy đủ nội thất	Sổ hồng				1.45 tỷ	No	No	No	No	No	No	No	No	2	No		No																		
Căn hộ	Bình Tân	2	1	68 m²	68 m²	Không có nội thất		Chung cư Lê Thành			1.54 tỷ	No	No	No	No	No	No	No	No	9	No		No																		
Căn hộ	Quận 4	2	2	71.42 m²	65.16 m²	Đầy đủ nội thất		Saigon South Residence	E		4 tỷ	No	No	No	No	No	No	No	No		No		No																		
Căn hộ	Quận 9	1	1	47 m²	43 m²	Nội thất cơ bản	HĐ mua bán	Vinhomes Grand Park	S1.03		1.95 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 9	2	2	71 m²	71 m²	Đầy đủ nội thất		Carillon 5			2.75 tỷ	No	No	No	No	No	No	No	No		No		No	No																	
Căn hộ	Quận 7	1	1	51.6 m²	51.6 m²	Đầy đủ nội thất	Sổ hồng	E-home 5 The Bridgeview			2.1 tỷ	No	No	No	No	No	No	No	No		No		No																		
Căn hộ	Quận 9	3	2	97 m²	97 m²	Nội thất cơ bản		Centana Thủ Thiêm	Tháp B	Chưa bàn giao	3.6 tỷ	No	No	No	No	No	No	No	No	9																					
Căn hộ	Quận 2	1	1	26 m²	26.25 m²	Đầy đủ nội thất	HĐ mua bán				2.1 tỷ	No	No	No	No	No	No	No	No	15	No	01/01/2015																			
Căn hộ	Quận 2	1	1	48.5 m²				Lexington Residence			2.5 tỷ	No	No	No	No	No	No	No	No		No		No	No								No	No								
Office-tel	Quận 7	1	1	55.23 m²	51.32 m²	Không có nội thất	HĐ mua bán	Lavida Plus	Block B	Chưa bàn giao	2.65 tỷ	No	No	No	No	No	No	No	No																						
Căn hộ	Quận 9	1	1	31.8 m²	28.9 m²	Nội thất cơ bản		Vinhomes Grand Park	S10	Chưa bàn giao	1.58 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 2	2	2	86.81 m²		Đầy đủ nội thất		Citizen Trung Sơn			3.2 tỷ	No	No	No	No	No	No	No	No		No		No	No								No									
Căn hộ	Quận 9	2	2	75 m²	75 m²	Nội thất cơ bản		Chung cư Mỹ An - 3G			2.4 tỷ	No	No	No	No	No	No	No	No		No		No	No																	
Căn hộ	Quận 8	2	2	66.66 m²	66.66 m²	Nội thất cơ bản	HĐ mua bán	Q7 Saigon Riverside	MERCURY	Chưa bàn giao	2.67 tỷ	No	No	No	No	No	No	No		19																					
Căn hộ	Gò Vấp	2	1	59 m²	55 m²	Nội thất cơ bản		Vinhomes Grand Park			2 tỷ	No	No	No	No	No	No	No	No		No	01/01/2019	No																		
Căn hộ	Bình Thạnh	3	2	147 m²	147 m²	Đầy đủ nội thất		Riviera Point	THE VIEW		8.8 tỷ	No	No	No	No	No	No	No	No	27	No																				
Căn hộ	Quận 2	2	2	80 m²		Đầy đủ nội thất		Vinhomes Central Park			4.6 tỷ	Yes	No	No	No	Yes	Yes	No	No		Yes		No	No		14/09/2017															
Căn hộ	Nhà Bè	2	2	70 m²		Đầy đủ nội thất	HĐ mua bán	Sunrise Riverside	E		3.23 tỷ	No	No	No	No	No	No	No	No	21	No																				
Căn hộ	Thủ Đức	2	2	78 m²	78 m²	Không có nội thất	HĐ mua bán	Topaz Elite	Phoenix 2		2.65 tỷ	No	No	No	No	No	No	No	No							27/12/2021															
Căn hộ	Quận 2	2	2	75 m²	75 m²	Đầy đủ nội thất	HĐ mua bán	Jamona Heights			3 tỷ	No	No	No	No	No	No	No	No		No		No																		
Căn hộ	Quận 9	2	1	63 m²	63 m²	Đầy đủ nội thất	Sổ hồng				2.15 tỷ	No	No	No	No	No	No	No	No	4	No		No																		
Căn hộ	Bình Thạnh	2	2	83 m²	83 m²	Đầy đủ nội thất	HĐ mua bán	Saigon Mia	Northern		5.3 tỷ	No	No	No	No	No	No	No				01/01/2016				07/01/2021															
Căn hộ	Quận 7	2	1	59 m²	54 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S3.02		2.3 tỷ	No	No	No	No	No	No	No	No	31																					
Căn hộ	Bình Chánh	2	1	57.64 m²	53.03 m²	Nội thất cơ bản		Picity High Park	P4	Chưa bàn giao	2 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 9	1	1	30 m²	26.3 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S3.05		1.35 tỷ	No	No	No	No	No	No	No	No	8																					
Căn hộ	Bình Thạnh	3	2	116 m²		Nội thất cơ bản		Vinhomes Central Park			6.2 tỷ	Yes	No	No	No	Yes	Yes	No	No		No		No		để ở hoặc cho thuê	13/09/2017															
	Bình Thạnh			66																							MCE7695	2.85 tỷ	Căn hộ	2	1										
Căn hộ	Bình Thạnh	2	2	64 m²	64 m²	Đầy đủ nội thất	Sổ hồng	Masteri Thảo Điền	T1		3.9 tỷ	No	No	No	No	No	No	No	No	24																					
Căn hộ	Quận 9	2	2	70 m²	64 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S1.03		2.85 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 4	2	2	79.8 m²		Đầy đủ nội thất	HĐ mua bán	Vinhomes Central Park			4.3 tỷ	Yes	No	No	Yes	Yes	Yes	No	No		Yes				để ở hoặc cho thuê	04/01/2018															
Căn hộ	Quận 7	2	1	58 m²	54 m²	Đầy đủ nội thất	HĐ mua bán	Vinhomes Grand Park	S1.07		2.3 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 4	2	2	80 m²		Đầy đủ nội thất	HĐ mua bán	Đảo Kim Cương - Diamond Island			5.25 tỷ	No	No	No	No	No	No	No	No	10	No		No																		
Căn hộ	Bình Thạnh	2	2	81 m²		Đầy đủ nội thất		Vinhomes Central Park			4.6 tỷ	Yes	No	No	No	Yes	Yes	No	No		No		No	Yes		26/09/2017															
Căn hộ	Bình Tân	2	2	62.37 m²		Nội thất cơ bản		Dream Home Riverside		Chưa bàn giao	1.5 tỷ	No	No	No	No	No	No	No	No		No		No	No																	
Căn hộ	Bình Thạnh	1	1	38 m²		Đầy đủ nội thất		RiverGate Residence			2.8 tỷ	No	No	No	No	Yes	Yes	No	No		Yes		No		để ở	27/02/2018															
Căn hộ	Quận 8	2	2	69 m²	63 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S1.02		2.7 tỷ	No	No	No	No	No	No	No	No		No																				
	Quận 11																										MBY5956	3.5 tỷ	Căn hộ												
Căn hộ	Quận 7	1	1	53.2 m²	53.2 m²	Nội thất cơ bản	HĐ mua bán	Q7 Saigon Riverside	SATURN	Chưa bàn giao	1.81 tỷ	No	No	No	No	No	No	No		25																					
Nhà phố	Nhà Bè	3	2	47.1 m²	94.2 m²	Nội thất cơ bản	Sổ hồng				4.5 tỷ	No	No	No	No	No	No	No	No	2	No		No																		
Căn hộ	Quận 7	1	1	53 m²		Không có nội thất		Q7 Saigon Riverside		Chưa bàn giao	2.01 tỷ	No	No	No	No	No	No	No	No	28	No		No																		
	Thủ Đức			70.72																							MCB6179	1.68 tỷ	Căn hộ	2	2										
Nhà phố	Quận 7	2	3	74 m²	122 m²	Không có nội thất					6.2 tỷ	No	No	No	No	No	No	No	No	3	No		No	No																	
Căn hộ	Bình Thạnh	2	2	76 m²		Không có nội thất		The Sun Avenue			3.6 tỷ	Yes	No	No	No	Yes	Yes	No	Yes		No		No	Yes		29/07/2019															
Căn hộ	Quận 9	3	2	135 m²	135 m²	Đầy đủ nội thất	Sổ hồng	Happy Valley	BLOCK K		5.9 tỷ	No	No	No	No	No	No	No	No	17																					
Căn hộ	Quận 9	2	1	59 m²	54 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S1.05		2.2 tỷ	No	No	No	No	No	No	No	No		No																				
Office-tel	Bình Thạnh	1	1	51 m²	46.6 m²	Đầy đủ nội thất	HĐ mua bán	The Sun Avenue	Block 8		3.1 tỷ	No	No	No	No	No	No	No	No	5																					
Căn hộ	Quận 9	2	2	71 m²	71 m²	Không có nội thất	HĐ mua bán	Saigon South Residence			2.9 tỷ	No	No	No	No	No	No	No	No		No					14/07/2020															
Căn hộ	Bình Thạnh	3	2	118.5 m²	118.5 m²	Đầy đủ nội thất	HĐ mua bán	Vinhomes Golden River	The Aqua 2		20 tỷ	No	No	No	No	No	No	No	No		No																				
Biệt thự	Quận 2			99.9 m²	450 m²	Nội thất cơ bản	Sổ hồng				23 tỷ	No	No	No	No	No	No	No	No	2	No													17 m	8 m	292.4 m²					
Căn hộ	Quận 7	2	2	69 m²	63.5 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S3.03		3.25 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 9	2	2	71 m²	65 m²	Không có nội thất	HĐ mua bán	Saigon South Residence			2.9 tỷ	No	No	No	No	No	No	No	No		No					23/09/2020															
Căn hộ	Quận 9	2	1	59 m²	54 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S2.02		2.1 tỷ	No	No	No	No	No	No	No	No		No																				
